calories,cook,directions,ingredients,name,prep,rating,ready in,url,keyword,veg/nonveg,core
164.0,,"1. Place the ice, Asian pear, strawberries, yogurt, milk, and sugar into a blender; blend until smooth.","½ cup ice, 1 Asian pear, cored and cubed, 2 large strawberries, hulled, ⅔ cup vanilla fat-free yogurt, ¼ cup fat-free milk, 2 teaspoons white sugar",Asian Pear and Strawberry Smoothie,10 mins,4.5,10 mins,https://www.allrecipes.com/recipe/167365/asian-pear-and-strawberry-smoothie/,"['ice', 'pear', 'strawberry', 'vanilla', 'yogurt', 'milk', 'sugar']",veg,"['ice', 'pear', 'strawberry', 'vanilla', 'yogurt', 'milk', 'sugar']"
100.0,,"1. Place the spinach in the freezer until frozen, at least 1 hour. 2. Combine the spinach, strawberries, banana, honey, and ice in a blender. Blend until smooth. Serve immediately.","2 cups spinach, 2 cups frozen strawberries, 1 banana, 2 tablespoons honey, ½ cup ice",Green Slime Smoothie,5 mins,4.5,1 hr 5 mins,https://www.allrecipes.com/recipe/178133/green-slime-smoothie/,"['spinach', 'strawberry', 'banana', 'honey', 'ice']",veg,"['spinach', 'strawberry', 'banana', 'honey', 'ice']"
285.0,,"1. Blend almond milk, ice cubes, banana, coffee, protein powder, honey, and peanut butter in a blender on low speed. Gradually turn speed up to high and blend until smooth, 20 to 30 seconds.","1 ¼ cups almond milk, 12 ice cubes, 1 banana, broken into chunks, ½ cup strong brewed coffee, chilled, ⅓ cup chocolate-flavored whey protein powder, 1 tablespoon honey, 1 tablespoon unsalted natural peanut butter, or more to taste",Jumpstart Chocolate Workout Smoothie,10 mins,4.5,10 mins,https://www.allrecipes.com/recipe/244720/jumpstart-chocolate-workout-smoothie/,"['almond', 'milk', 'ice', 'banana', 'coffee', 'honey', 'peanut', 'butter']",veg,"['almond', 'milk', 'ice', 'banana', 'coffee', 'honey', 'peanut', 'butter']"
341.0,,"1. Blend ice, 1/2 cup strawberries, 1 banana, blackberries, and apple juice together in a blender until smooth, adding more ice depending on your desired consistency. Pour smoothie into a bowl. 2. Top smoothie with remaining strawberries, remaining banana, blueberries, and granola. Drizzle honey over the top.","1 cup ice cubes, or as needed, 1 cup strawberries, divided, 2 bananas, sliced, divided, ½ cup blackberries, ¼ cup apple juice, ½ cup blueberries, ½ cup granola, 1 teaspoon honey, or to taste",Backyard Berry Bowl,10 mins,5.0,10 mins,https://www.allrecipes.com/recipe/244386/backyard-berry-bowl/,"['ice', 'strawberry', 'banana', 'blackberry', 'apple', 'blueberry', 'honey']",veg,"['ice', 'strawberry', 'banana', 'blackberry', 'apple', 'blueberry', 'honey']"
445.0,,"1. Combine the ice, pineapple juice, ginger ale, coconut milk, and sugar in a blender; blend until smooth.","1 cup ice, 2 cups pineapple juice, ½ cup ginger ale, 3 tablespoons coconut milk, 1 tablespoon white sugar",Island Smoothie,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/199909/island-smoothie/,"['ice', 'pineapple', 'ginger', 'coconut', 'milk', 'sugar']",veg,"['ice', 'pineapple', 'ginger', 'coconut', 'milk', 'sugar']"
216.0,5 mins,"1. Mash bananas and brown sugar together in a bowl. Transfer to a small saucepan, place over medium heat, and cook until bananas begin to brown, about 5 minutes, stirring constantly. Gradually mix 1 cup milk into bananas and heat until mixture begins to steam. Stir honey and cinnamon into mixture until honey has dissolved. 2. Pour banana mixture into a blender no more than half full. Cover and hold lid down; pulse a few times before leaving on to blend. Puree until smooth. Blend remaining 1/2 cup milk into mixture until creamy.","2 small ripe bananas, chopped, ¼ teaspoon brown sugar, 1 ½ cups milk, divided, 1 tablespoon honey, ⅛ teaspoon ground cinnamon",Hot Banana Milkshake,15 mins,4.0,20 mins,https://www.allrecipes.com/recipe/230774/hot-banana-milkshake/,"['banana', 'sugar', 'milk', 'honey', 'cinnamon']",veg,"['banana', 'sugar', 'milk', 'honey', 'cinnamon']"
23.0,,"1. Combine pineapple, spinach, and sweetener in a blender. Add 2 cups water and blend until smooth. 2. Pour into a pitcher and add the remaining 4 cups water.","2 cups chopped fresh pineapple, 2 cups packed fresh spinach, 4 packets stevia sugar substitute (such as Truvia®), 6 cups water, divided",Agua Fresca de Pina y Espinacas (Pineapple Spinach Agua Fresca),10 mins,,10 mins,https://www.allrecipes.com/recipe/275544/agua-fresca-de-pina-y-espinacas-pineapple-spinach-agua-fresca/,"['pineapple', 'spinach', 'sugar', 'water']",veg,"['pineapple', 'spinach', 'sugar', 'water']"
115.0,,"1. Combine banana, cucumbers, red bell pepper, grapefruit juice, and carrots in a blender; blend until smooth. 2. Fill a glass with ice and pour smoothie over ice.","1 banana, 1 cup chopped cucumbers, ⅔ cup chopped red bell pepper, ½ cup ruby-red grapefruit juice, ½ cup chopped carrots, ice cubes",Carrot-Banana Smoothie,15 mins,3.5,15 mins,https://www.allrecipes.com/recipe/256561/carrot-banana-smoothie/,"['banana', 'cucumber', 'pepper', 'grapefruit', 'carrot', 'ice']",veg,"['banana', 'cucumber', 'pepper', 'grapefruit', 'carrot', 'ice']"
374.0,,"1. Place bananas, raspberries, pecans, coconut oil, flax meal, and date in a blender; add water. Blend until smooth.","2 bananas, broken into chunks, 1 cup frozen raspberries, 2 tablespoons pecan halves, 1 tablespoon coconut oil, 1 tablespoon flax seed meal, 1 date, pitted, 16 fluid ounces water",Coconut Raspberry Smoothie,5 mins,5.0,5 mins,https://www.allrecipes.com/recipe/244182/coconut-raspberry-smoothie/,"['banana', 'raspberry', 'pecan', 'coconut', 'oil', 'flax', 'date', 'water']",veg,"['banana', 'raspberry', 'pecan', 'coconut', 'oil', 'flax', 'date', 'water']"
228.0,,"1. In a blender, blend the papaya, banana, strawberries, milk, sugar, and ice cubes until smooth.","1 papaya - peeled, seeded and diced, 1 banana, peeled and sliced, ½ cup sliced fresh strawberries, ⅓ cup milk, ¼ cup sugar, 15 ice cubes",Papaya Surprise Smoothie,10 mins,4.5,10 mins,https://www.allrecipes.com/recipe/72701/papaya-surprise-smoothie/,"['papaya', 'banana', 'strawberry', 'milk', 'sugar', 'ice']",veg,"['papaya', 'banana', 'strawberry', 'milk', 'sugar', 'ice']"
